dataset,split,feature,num_images,spearman_corr_with_grade,pearson_corr_with_grade,mean_grade_0,mean_grade_4,grade_4_minus_grade_0
IDRiD,test,soft_exudates_prob_mean,103,0.6039729876528467,0.3819593952846766,0.021979388068704045,0.023844792292668268,0.0018654042239642232
IDRiD,test,microaneurysms_component_count,103,0.7151461359831758,0.5049482131870142,3.1470588235294117,58.46153846153846,55.31447963800905
IDRiD,test,haemorrhages_component_count,103,0.7323912066062371,0.5741605509150524,1.6176470588235294,23.53846153846154,21.92081447963801
IDRiD,test,hard_exudates_component_count,103,0.5745726942608853,0.38448387017802277,0.8823529411764706,14.23076923076923,13.348416289592759
IDRiD,test,soft_exudates_component_count,103,0.5347178067787345,0.42733760705877943,0.3235294117647059,2.4615384615384617,2.1380090497737556
IDRiD,test,lesion_presence_count,103,0.6004495032316576,0.586529439214702,2.4411764705882355,3.769230769230769,1.3280542986425337
IDRiD,train,total_lesion_union_area_ratio,413,0.7696252370352419,0.48712956159264503,0.0016586531454057616,0.026458350979551935,0.02479969783414617
IDRiD,train,total_lesion_sum_area_ratio,413,0.7761295743764056,0.502881112264676,0.0017868155863747417,0.02913214235889665,0.027345326772521907
IDRiD,train,microaneurysms_area_ratio,413,0.8074314277439221,0.5790524239461008,0.00013527941347946587,0.0027125611597177573,0.0025772817462382915
IDRiD,train,haemorrhages_area_ratio,413,0.7910814965421108,0.38150247864935943,0.0009471551695866241,0.01650160186144767,0.015554446691861047
IDRiD,train,hard_exudates_area_ratio,413,0.603169384649993,0.324729568930356,0.00046200538749124626,0.007938852115553225,0.007476846728061978
IDRiD,train,soft_exudates_area_ratio,413,0.49940585227974116,0.3269017725358656,0.00024237561581739122,0.0019791272221779043,0.0017367516063605132
IDRiD,train,microaneurysms_prob_mean,413,0.6027113771373386,0.4470743242136082,0.014460777168843263,0.01617758614676338,0.0017168089779201166
IDRiD,train,haemorrhages_prob_mean,413,0.768571623451844,0.37710127524149667,0.00399841479401086,0.01872825622558592,0.014729841431575061
IDRiD,train,hard_exudates_prob_mean,413,0.6232394170562651,0.341422271423866,0.006387852910739239,0.01488852987484053,0.00850067696410129
IDRiD,train,soft_exudates_prob_mean,413,0.6000543989463113,0.40425806001426845,0.022448639371501867,0.025787976323341837,0.0033393369518399697
IDRiD,train,microaneurysms_component_count,413,0.7993257058533791,0.5808521609337457,4.529850746268656,67.95918367346938,63.429332927200726
IDRiD,train,haemorrhages_component_count,413,0.792184566639526,0.6441257058574461,2.1791044776119404,29.428571428571427,27.249466950959487
IDRiD,train,hard_exudates_component_count,413,0.5739393693400336,0.41059476692724567,6.567164179104478,39.57142857142857,33.00426439232409
IDRiD,train,soft_exudates_component_count,413,0.4848855180651766,0.30794853509047887,1.0895522388059702,5.040816326530612,3.951264087724642
IDRiD,train,lesion_presence_count,413,0.5844293478485361,0.5848083314295469,2.514925373134328,3.795918367346939,1.2809929942126108
